review,cleaned_review,rating,date,bank,sentiment_label,sentiment_score,identified_theme
"Great UI design, best banking app in Ethiopia So frustrating.","great ui design, best banking app in ethiopia so frustrating.",4,2025-12-22,CBE,positive,0.4666666666666666,UI and Design
"Fast and secure, recommended for everyone Great work!","fast and secure, recommended for everyone great work!",4,2026-03-09,CBE,positive,0.5333333333333333,Transaction Performance
App freezes on payment screen Highly recommend.,app freezes on payment screen highly recommend.,1,2026-01-07,CBE,positive,0.16,Transaction Performance
Good app but needs fingerprint login feature Please fix!,good app but needs fingerprint login feature please fix!,5,2026-01-28,CBE,positive,0.875,Account Access
"Login issues every time, very frustrating Very disappointed.","login issues every time, very frustrating very disappointed.",4,2026-03-19,CBE,negative,0.7475,Account Access
Transaction failed multiple times today Please fix!,transaction failed multiple times today please fix!,4,2026-03-15,CBE,negative,0.25,Transaction Performance
"Love the interface, very user friendly and intuitive Very disappointed.","love the interface, very user friendly and intuitive very disappointed.",2,2025-12-06,CBE,neutral,0.5,UI and Design
"OTP never arrives, please fix this issue urgently Update needed.","otp never arrives, please fix this issue urgently update needed.",3,2026-04-22,CBE,neutral,0.5,Account Access
"Great UI design, best banking app in Ethiopia Very disappointed.","great ui design, best banking app in ethiopia very disappointed.",1,2026-05-16,CBE,positive,0.27499999999999997,UI and Design
"Login issues every time, very frustrating Update needed.","login issues every time, very frustrating update needed.",1,2026-03-01,CBE,negative,0.52,Account Access
Customer support helped me resolve my issue quickly Very disappointed.,customer support helped me resolve my issue quickly very disappointed.,5,2025-12-20,CBE,negative,0.9750000000000001,Customer Support
"App is very slow during transfers, takes forever to process Great work!","app is very slow during transfers, takes forever to process great work!",4,2026-05-03,CBE,positive,0.30499999999999994,Transaction Performance
"App is very slow during transfers, takes forever to process So frustrating.","app is very slow during transfers, takes forever to process so frustrating.",4,2026-02-01,CBE,negative,0.395,Transaction Performance
"Please add dark mode, it's hard on eyes at night Highly recommend.","please add dark mode, it's hard on eyes at night highly recommend.",3,2026-05-12,CBE,neutral,0.5,Feature Requests
"OTP never arrives, please fix this issue urgently Please fix!","otp never arrives, please fix this issue urgently please fix!",3,2026-02-26,CBE,neutral,0.5,Account Access
Transaction failed multiple times today Update needed.,transaction failed multiple times today update needed.,1,2026-01-17,CBE,negative,0.25,Transaction Performance
Very reliable for daily transactions,very reliable for daily transactions,3,2026-01-10,CBE,positive,0.1,Transaction Performance
App freezes on payment screen So frustrating.,app freezes on payment screen so frustrating.,5,2026-02-28,CBE,negative,0.4,Transaction Performance
App freezes on payment screen,app freezes on payment screen,4,2025-11-25,CBE,neutral,0.5,Transaction Performance
Customer support helped me resolve my issue quickly Great work!,customer support helped me resolve my issue quickly great work!,1,2026-03-11,CBE,positive,1.0,Customer Support
